,user_location,tweet_text,date
39,Washington DC,#Russia reacts angrily after Biden calls Putin a 'killer https://t.co/dnw8g1aIs5 #Newyork #Chicago #Phoenix #Losangeles #Houston #Atlanta #Boston #Dallas #Forthworth #Charlotte #washingtonDC #Denver #Seattle #Portland #Detroit #Milwaukee #Richmond #Philadelphia #Sandiego #Detroit,2021-03-18 23:46:58
40,"Boston, MA","8PM ET - The Final Straw Radio
An Ethiopian Anarchist Perspective on the War in Tigray
Activate Radio - https://t.co/6hOC2CeNel
#news #occupy #boston #dorchester #roxbury #jamaicaplain #lowell #worcester #fallriver #providence #nyc #chicago #seattle https://t.co/DVxyFYaTCm",2021-03-18 23:46:03
41,Washington DC,HOW THE UKRAINE CRISIS ENDS : By Henry Kissinger https://t.co/G9Qx6SieFA #Newyork #Chicago #Phoenix #Losangeles #Houston #Atlanta #Boston #Dallas #Forthworth #Charlotte #washingtonDC #Denver #Seattle #Portland #Detroit #Milwaukee #Richmond #Philadelphia #Sandiego #Detroit #Austin,2021-03-18 23:45:40
42,"San Antonio, TX","Happy birthday to my son, all grow'd up and in college #Seattle #SeattlePacificUniversity #SPU #NotMyPresident #JoeBiden #Biden #Fraud https://t.co/Ej4o2aU06k",2021-03-18 23:40:13
43,,"New episode:Bears Free Agent Recap, Is there any hope in our Bears?? #ToiletTalkSports #NFL #NFLTwitter  #BearsNation #ChicagoBears #Seattle #Oakland #LasVegasRaiders  https://t.co/1m2A9EWiet",2021-03-18 23:39:36
44,"Seattle/NYC/New Orleans, USA","It's the afternoon (here on the west coast), what's your go-to snack?! Or feel free to add your own below #snack #westcoast #snacktime #sandiego #losangeles #sanfrancisco #portland #seattle #vancouver #california #oregon #washington #britishcolumbia #usa #canada",2021-03-18 23:37:43
45,"Puyallup, WA","Can you recommend anyone for this job? Experienced Pest Control Service Specialist-$2500 Sign On Bonus - https://t.co/vRntoaFh2S #Seattle, WA #pestcontrol",2021-03-18 23:37:27
46,"portland,OR",Tonight!!! #drag #burlesque #Seattle #portland https://t.co/kIBa9pS70A,2021-03-18 23:35:57
47,"Seattle, WA","49F in #Seattle w light rain &amp; 9.22mph winds, 76% humidity https://t.co/pqaWPWZG3t https://t.co/35DOLidbdK",2021-03-18 23:30:33
48,"Seattle, WA",SDOT Women Paving the Way | Meet Nina Park: https://t.co/zfk9Jkq9d0 #SDOT #WSDOT #Transit #Seattle #Transportation,2021-03-18 23:28:46
49,"On diverse inclusive culture, ",@L_A_Bianchi #CBSEveningNews 😬Be honest: have you ever spoken out against a racist? #Portland #KOINNews #seattle #vanwa @SierraClubWASt #waleg @ORSierraClub #pdx #orleg #pdx #nprnews #Blacklivesmatter #opbr https://t.co/dtugdgGty4,2021-03-18 23:28:24
50,"Seattle, WA",🌈 #seattle @ Alki Beach Viewpoint https://t.co/yoM23ZNhzV,2021-03-18 23:27:30
51,"Seattle, WA",🌧🌞 #seattle #alkibeach @ Alki Beach Park https://t.co/ctBvT8DyKq,2021-03-18 23:24:57
52,"On diverse inclusive culture, ","#BringMyVaccine #KOINNews #wa New #GOPDomesticTerrorists revenue forecast shows $5.2 BILLION extra dollars over the next 4 years. NO need for an income tax. No NEED for an income tax. No need for an INCOME TAX. #waleg #Seattle  #Taxapalooza #Portland
 https://t.co/tKPl5jbQ3F",2021-03-18 23:23:29
53,USA-WA-Seattle Metro,"This #IT job might be a great fit for you. Click the link in our bio to see it and more. Operational Technology Professional-Seattle at Tetra Tech #Seattle, WA",2021-03-18 23:23:03
54,Worldwide,"Join us Apr 9 for the Introduction to Government for Girls Webinar teaches girls about the structure of government, elections &amp; ways to participate in government. #GirlScouts earn a #civics badge. Tickets ➡️ https://t.co/3LZClHrW1D  #Oakland #LosAngeles #SanFrancisco #Seattle",2021-03-18 23:20:02
55,"Seattle, WA","Join the Starbucks team! See our latest #Logistics job openings, including ""sourcing manager, Retail Global Equipment and Innovation"", via the link in our bio. #Seattle, WA",2021-03-18 23:18:23
56,"On diverse inclusive culture, ","#CBSEveningNews  #ElizabethWarren says that a wealth tax is popular across America, with Republicans, Democrats, and Independents.  #waleg #seattle #Portland #vanwa #Orleg #AbLeg #ClimateCrisis #BLM #Georgia #KOIN6News #KOINNews https://t.co/IlnlEdxivG",2021-03-18 23:17:19
57,"Vancouver, British Columbia","Elegant design and functionality!
Upgrade your style today!
#poshmark #shopmycloset #designer #outfit #capsulewardrobe #personalstylist #fashiontips #women #model #Austin #SanJose #FortWorth #Jacksonville #Columbus #Charlotte #Indianapolis #SanFrancisco #Seattle",2021-03-18 23:15:00
58,,"#Seattle #Mariners:  JULIOOOOOOOOOOO... 
 
https://t.co/N8w7ZqKW83
 
#Baseball #MajorLeagueBaseball #MLB #MLBAmericanLeague #MLBAmericanLeagueWest #SeattleMariners #Washington https://t.co/ITcLHo5h5G",2021-03-18 23:10:05
59,"Seattle, Washington",Here's what #Seattle's weather will be like on the first day of spring ☁️ https://t.co/xQcHcDJJOK https://t.co/Cs1t1kkyDU,2021-03-18 23:10:02
60,"On diverse inclusive culture, ","#KOINNews #wa New #GOPDomesticTerrorists revenue forecast shows $5.2 BILLION extra dollars over the next 4 years. NO need for an income tax. No NEED for an income tax. No need for an INCOME TAX. #waleg #Seattle #vanwa #NOIncomeTax #Taxapalooza #Portland 
 https://t.co/01B96oop6n",2021-03-18 23:08:30
61,"Seattle, WA","It's such an honor to be on the #programming team for #SIFF2021. #Seattle and world, mark your calendar for an amazing international #filmfestival! Lineup for #virtualsiff announced on 3/24. https://t.co/rAcPY8SD83",2021-03-18 23:06:35
62,Greater Seattle,"DID YOU KNOW, #Seattle once had over 70 mi. of streetcar track and cable rail? Most is gone, but you can still enjoy a trolley ride on the South Lake Union or First Hill Streetcar lines. More are planned in the years to come. 
#TBT #ThrowbackThursday https://t.co/a9l91aZRLZ",2021-03-18 23:05:03
63,"Seattle, WA","50F in #Seattle w light rain &amp; 4.61mph winds, 76% humidity https://t.co/pqaWPWZG3t https://t.co/ShuC8MeLDR",2021-03-18 23:00:36
64,,"#Scatter
Believe me when I`m saying I`m a true expert of causing pleasure to people
#cuminthroat
#Seattle",2021-03-18 23:00:26
65,"Ann Arbor, Michigan",Turner is looking for a Marketing Coordinator (Turner Construction) in #Seattle #Washington #UnitedStates | Apply https://t.co/vEqt5MQW4F,2021-03-18 23:00:07
